id_revision,post_id,tema,subtema,cuestion,criterio_extraido,aplicacion_a_mi_caso,riesgo,prioridad,validar_con_asesor,documentos_necesarios,accion_recomendada,pregunta_asesor,titulo_post,url_post,fragmento_soporte,observaciones
RG-011,105,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 13: Amortización del Mobiliario,https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario,"os estado viendo los diferentes gastos deducibles que se consideran gastos del ejercicio, es decir, gastos de reparación y conservación y intereses, gastos por interés y financiación, Hemos estado viendo también una amortización muy importante, que es la amort",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-012,105,Amortización,amortización mobiliario,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 13: Amortización del Mobiliario,https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario,"año, ¿vale? también es requisito imprescindible una justificación documental, ¿vale? Es decir, que existe una factura de que yo haya escrito ese mobiliario. Y ojo, recargo, factura, no sirve un ticket. El ticket que te... que te dan cuando vas a comprar IKE",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-013,77,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,¿Cuánto es el rendimiento neto que te queda?,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-014,77,IRPF alquiler inmueble,renta mensual,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,¿O esa amortización que te parecía confusa?,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-015,77,IRPF alquiler inmueble,renta mensual,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,¿Recuerdas ese gasto por reparación que dudabas si era deducible?,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-016,77,IRPF alquiler inmueble,renta mensual,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 16: Cálculo del Rendimiento Neto/Reducido.,https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento,"estante. Se debe destinar a vivienda habitual la totalidad del inmueble. No es posible aplicar la reducción a contratos de temporada, como ahora veremos. debe atender la finalidad del arrendamiento, no tanto al contrato firmado, es decir, yo estoy alto de re",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-017,14,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar un arrendamiento por cada contrato/habitación cuando cada una tenga casuística propia.,Declarar un arrendamiento por cada contrato/habitación cuando cada una tenga casuística propia.,"Si alquilas por habitaciones, te conviene separar cada contrato para reflejar ingresos, incidencias y tratamiento fiscal propio.",Alto,Alta,Sí,Contrato por habitación | NIF/NIE arrendatario | Control de ocupación,Preparar una ficha separada por habitación/contrato.,¿Debo declarar cada habitación como arrendamiento separado en Renta Web aunque todo cuelgue de una sola referencia catastral?,#Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos.,https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones,"habitaciones cada uno, pues voy a tener que declarar 16 arrendamientos. Es decir, cada arrendamiento, o sea, cada contrato para que quede claro tengo que declarar un arrendamiento por cada contrato que tenga firmado, ¿vale? Y esto así evitamos tener los problemas que tiene la mayoría de inversores.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-018,14,Alquiler por habitaciones,habitaciones con distinta casuística,No aplicar la reducción globalmente a todo el piso si no todas las habitaciones cumplen el mismo supuesto.,No aplicar la reducción globalmente a todo el piso si no todas las habitaciones cumplen el mismo supuesto.,"La reducción puede ser defendible en unas habitaciones y no en otras según contrato, duración o uso real.",Alto,Alta,Sí,Contrato | Prueba de uso/residencia | Histórico de inquilinos,Revisar habitación por habitación la posibilidad de reducción.,¿La reducción por vivienda habitual debo analizarla por habitación/contrato o por el inmueble completo?,#Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos.,https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones,"que lo pide todo, la factura, el IBI, la comunidad, todo, todo hay que enviárselo. Y te dice Hacienda, vale, tú aquí tienes cuatro habitaciones y en dos de ellas no te puedo aplicar la reducción. La hemos liado, ¿por qué? Porque yo me estoy aplicando por defecto la reducción del 50 para todo el inmu",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-019,14,Alquiler por habitaciones,habitaciones con distinta casuística,"Mantener expediente documental completo porque Hacienda puede pedir contratos, facturas y justificantes de pago.","Mantener expediente documental completo porque Hacienda puede pedir contratos, facturas y justificantes de pago.",En alquiler por habitaciones necesitas trazabilidad por contrato y por gasto.,Alto,Alta,No,Contratos | Facturas | Justificantes de pago | Extractos bancarios,Ordenar carpeta anual con subcarpetas por habitación y gasto.,¿Qué soporte documental mínimo conviene guardar por cada habitación para una comprobación?,#Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos.,https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones,"ón, revisarme o comprobarme o abrirme un procedimiento de requerimiento que se llama y pedirme documentación. Me pide documentación, contratos, facturas, justificantes de pagos, me lo pide todo. Claro, se guarda la potestad de que tú has autodeclarado esto y ahora yo te reviso, te compruebo y si est",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-020,141,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,#Clase 6: Cálculo del Rendimiento de Capital Inmobiliario.,https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de,sobre el rendimiento neto positivo (siempre que declares correctamente todos los datos).,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-021,141,Gastos deducibles,gastos deducibles,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,#Clase 6: Cálculo del Rendimiento de Capital Inmobiliario.,https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de,"➡️ le restas todos los gastos deducibles: IBI, comunidad, intereses de hipoteca, seguros, reparaciones, amortización, suministros si los pagas tú, etc.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-022,141,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 6: Cálculo del Rendimiento de Capital Inmobiliario.,https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de,"➡️ le restas todos los gastos deducibles: IBI, comunidad, intereses de hipoteca, seguros, reparaciones, amortización, suministros si los pagas tú, etc.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-023,135,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,#Clase 8: Gastos Deducibles (Cuestiones Comunes),https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones,"A la hora de declarar los rendimientos del capital inmobiliario en tu declaración de la renta, es fundamental conocer qué",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-024,135,Gastos deducibles,gastos deducibles,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,#Clase 8: Gastos Deducibles (Cuestiones Comunes),https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones,Amortización del inmueble y sus bienes muebles.,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-025,135,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 8: Gastos Deducibles (Cuestiones Comunes),https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones,Reparaciones y mantenimiento del inmueble.,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-026,135,Alquiler por habitaciones,ingresos por habitación,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 8: Gastos Deducibles (Cuestiones Comunes),https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones,"iler por habitaciones... hay propietarios, hay arrendadores que optan por repercutir gastos al inquilino tipo factura de luz, tipo factura de agua, el wifi, etc. ¿Qué quiere decir esto de la repercusión? Pues no quiere decir otra cosa que es el propietario",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-027,146,IRPF alquiler inmueble,renta mensual,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,Reparaciones en tu edificio alquilado: ¿puedes deducirlas en el IRPF?,https://fiscalizarte.substack.com/p/reparaciones-en-tu-edificio-alquilado,Hoy hablamos de un caso que te puede interesar si tienes una propiedad en alquiler y necesitas hacer reparaciones.,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-028,146,IRPF alquiler inmueble,renta mensual,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,Reparaciones en tu edificio alquilado: ¿puedes deducirlas en el IRPF?,https://fiscalizarte.substack.com/p/reparaciones-en-tu-edificio-alquilado,Asegúrate de que la factura del proveedor,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-029,174,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual,https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda,rendimientos del capital inmobiliario,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-030,174,Alquiler por habitaciones,habitaciones con distinta casuística,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual,https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda,Amortización del inmueble:,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-031,174,Alquiler por habitaciones,habitaciones con distinta casuística,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual,https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda,Gastos de reparación y conservación:,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-032,91,Alquiler por habitaciones,habitaciones con distinta casuística,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,"🏠 Alquilas tu piso por habitaciones… pero, ¿sabes cómo declarar bien la amortización del inmueble?",https://fiscalizarte.substack.com/p/alquilas-tu-piso-por-habitaciones,“¿Y cómo aplico correctamente la amortización del inmueble?”,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-033,91,Alquiler por habitaciones,habitaciones con distinta casuística,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,"🏠 Alquilas tu piso por habitaciones… pero, ¿sabes cómo declarar bien la amortización del inmueble?",https://fiscalizarte.substack.com/p/alquilas-tu-piso-por-habitaciones,"Más gastos → suministros, comunidad, reparaciones, IBI, seguros… todo proporcional.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
