post_id,titulo,url,fecha,grupo_depurado,categoria,punto_extraido,fragmento_soporte,aplicacion_a_mi_caso,tipo,riesgo,confianza,validar_con_asesor,documentacion_recomendada,accion_recomendada,pregunta_asesor,observaciones
49,"Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel",https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda,2025-11-26T08:31:08.634Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reducción, vivienda habitual o límites para aplicarla.","otro día, en una sesión, una suscriptora me pregunta: “Manu, me casé en gananciales y voy a vender mi antigua vivienda habitual. ¿El dinero lo tengo que ingresar en una cuenta conjunta para usarlo en la hipoteca de nuestra casa actual? ¿O mejor en una cuenta solo mía",Te sirve para detectar cuándo una reducción puede ser defendible y cuándo no.,Fiscal,Alto,Media,Sí,Contrato | Prueba de uso/residencia | Histórico de inquilinos,Validar este criterio antes de aplicar una reducción en renta.,¿Puedo aplicar esta reducción en mi caso de alquiler por habitaciones o no es defendible?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
49,"Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel",https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda,2025-11-26T08:31:08.634Z,B_BASE_FISCAL_UTIL,Documental,El post exige soporte documental concreto para defender el criterio ante Hacienda.,"ro de plusvalía reduce tu ganancia imponible . 4) Pequeños trucos que marcan la diferencia Recupera todas las facturas : notaría, registro, gestoría, agencia inmobiliaria, etc. Todo eso aumenta tu valor de adquisición y reduce la ganancia fiscal . Si el inm","Sirve para blindar ingresos, gastos y criterios si Hacienda revisa.",Documental,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar soporte probatorio ligado a este criterio.,¿Qué documentación adicional conviene guardar para defender este punto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
49,"Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel",https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda,2025-11-26T08:31:08.634Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre estructura fiscal, persona física o sociedad, que requiere validación caso por caso.","cuenta o en la conjunta. Si el piso se compró o se convirtió en bien ganancial , ese dinero ya pertenece a la sociedad conyugal . No hace falta hacer donaciones ni inventos para “pasarlo” al otro cónyuge. Lo importante no es quién aparece en la cuenta , sino","Aunque tu caso sea persona física, ayuda a no tomar decisiones de estructura por titulares.",Fiscal,Alto,Media,Sí,Resumen ingresos/gastos | Escenario comparativo | Borrador renta,No cambiar estructura sin contraste numérico y asesoramiento.,¿Tiene sentido en mi caso seguir como persona física o valorar otra estructura sería innecesario?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
66,#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,2025-09-28T08:53:52.043Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,"era un gasto que salía... de mi cuenta bancaria de mi piso, sino que era un gasto ficticio, pero que me podía deducir por la simple depreciación de la construcción del inmueble, del piso. Pues aquí me pide la normativa que, ojo, todo lo que te ha ido amorti",Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
66,#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,2025-09-28T08:53:52.043Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.","sido propietario de ese inmueble. todo esto se sumará y se le restará un concepto muy importante que son las amortizaciones deducibles. La amortización mínima del 3% del periodo en que estuvo alquilado. Ojo, esto que aparece aquí en pantalla puede ser que vosot",Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
66,#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,2025-09-28T08:53:52.043Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reparación, conservación o mejora y su tratamiento fiscal.","inversión y mejora, esto lo veremos en una clase siguiente, la diferencia entre inversión y mejora y gasto de reparación y conservación, ¿vale? Sobre todo para aquellos que os dedicáis al flipping inmobiliario, al house flipping, a la compra y reforma-venta, Y",Útil para clasificar facturas de obra y evitar errores ante Hacienda.,Fiscal,Alto,Media,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la actuación antes de meterla en renta.,¿Esta actuación concreta encaja aquí o debería tener otro tratamiento fiscal?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
66,#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,2025-09-28T08:53:52.043Z,B_BASE_FISCAL_UTIL,Documental,El post exige soporte documental concreto para defender el criterio ante Hacienda.,"la API, a la empresa inmobiliaria, que me ha facilitado esa oportunidad. Una comisión que se la he pagado con factura y la cual he soportado un IVA sobre esa factura. O, hoy en día es muy de moda, pagar a un personal shopper que me busca la oportunidad y es","Sirve para blindar ingresos, gastos y criterios si Hacienda revisa.",Documental,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar soporte probatorio ligado a este criterio.,¿Qué documentación adicional conviene guardar para defender este punto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
66,#Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF,https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas,2025-09-28T08:53:52.043Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre suministros, comunidad, IBI, seguros u otros gastos corrientes del inmueble.","i un valor a esa compra. Pero además, por ese precio de compra, por ese inmueble, yo pagué en su día gastos y tributos inherentes a esa adquisición. Pagué notaría, pagué el impuesto de transmisiones patrimoniales o el IVA, si fue una compra de obra nueva, un","Muy útil para alquiler por habitaciones, donde el reparto o repercusión suele generar dudas.",Fiscal,Medio,Media,Sí,Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Separar y archivar estos gastos con su criterio de imputación.,¿Qué criterio de imputación o prorrateo debo aplicar a estos gastos en mi caso?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
48,Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,2025-11-28T15:58:12.087Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.","ndo IA y automatizaciones para: Modelar escenarios fiscales en segundos. Tener controlados inmuebles, rentas, amortizaciones y decisiones clave sin vivir atado a un Excel. Esto no es una charla motivacional. Es una hoja de ruta para que tus decisiones inmobiliar",Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
48,Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,2025-11-28T15:58:12.087Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reducción, vivienda habitual o límites para aplicarla.","ía de manual. Cosas como: Cuándo tiene sentido seguir en persona física y exprimir las reglas que ya existen (reducciones, tipos, base del ahorro…). El punto en el que una sociedad patrimonial deja de ser “capricho de gestor” y empieza a ser una máquina de ah",Te sirve para detectar cuándo una reducción puede ser defendible y cuándo no.,Fiscal,Alto,Media,Sí,Contrato | Prueba de uso/residencia | Histórico de inquilinos,Validar este criterio antes de aplicar una reducción en renta.,¿Puedo aplicar esta reducción en mi caso de alquiler por habitaciones o no es defendible?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
48,Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,2025-11-28T15:58:12.087Z,B_BASE_FISCAL_UTIL,Documental,El post exige soporte documental concreto para defender el criterio ante Hacienda.,"Esto no es una charla motivacional. Es una hoja de ruta para que tus decisiones inmobiliarias no revienten tu factura fiscal dentro de 3 años. ¿Por qué te regalo esta clase? Porque si entiendes esto, dejas de jugar a “comprar pisos” y empiezas a construir u","Sirve para blindar ingresos, gastos y criterios si Hacienda revisa.",Documental,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar soporte probatorio ligado a este criterio.,¿Qué documentación adicional conviene guardar para defender este punto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
48,Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,2025-11-28T15:58:12.087Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre suministros, comunidad, IBI, seguros u otros gastos corrientes del inmueble.",", al revés, siguen en persona física cuando ya están tirando dinero cada año. Ayer di una sesión privada para Comunidad Propia , una comunidad de inmobiliarios que quieren escalar usando IA + automatizaciones , y fue precisamente de esto: Fiscalidad en inmueb","Muy útil para alquiler por habitaciones, donde el reparto o repercusión suele generar dudas.",Fiscal,Medio,Media,Sí,Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Separar y archivar estos gastos con su criterio de imputación.,¿Qué criterio de imputación o prorrateo debo aplicar a estos gastos en mi caso?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
48,Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo,2025-11-28T15:58:12.087Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre estructura fiscal, persona física o sociedad, que requiere validación caso por caso.","siempre: Pagan más IRPF del que deberían. Crean sociedades patrimoniales sin sentido. O, al revés, siguen en persona física cuando ya están tirando dinero cada año. Ayer di una sesión privada para Comunidad Propia , una comunidad de inmobiliarios que quieren esca","Aunque tu caso sea persona física, ayuda a no tomar decisiones de estructura por titulares.",Fiscal,Alto,Media,Sí,Resumen ingresos/gastos | Escenario comparativo | Borrador renta,No cambiar estructura sin contraste numérico y asesoramiento.,¿Tiene sentido en mi caso seguir como persona física o valorar otra estructura sería innecesario?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
45,“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,2025-12-10T09:37:36.258Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,"o sociedad: eliges cuándo y cómo tributar. Cuando eres persona física (aunque no residente), Hacienda te deja deducir gastos , pero con límites. En cambio, en una sociedad puedes deducir casi todo lo que sea necesario para la actividad: reformas, asesoría,",Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
45,“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,2025-12-10T09:37:36.258Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.","casi todo lo que sea necesario para la actividad: reformas, asesoría, seguros, desplazamientos, suministros, amortización real de los activos, etc. Y, sobre todo, puedes reinvertir beneficios sin pagar el IRPF cada año . El dinero se queda dentro de la sociedad",Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
45,“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,2025-12-10T09:37:36.258Z,B_BASE_FISCAL_UTIL,Documental,El post exige soporte documental concreto para defender el criterio ante Hacienda.,"que te queda. Como sociedad: eliges cuándo y cómo tributar. Cuando eres persona física (aunque no residente), Hacienda te deja deducir gastos , pero con límites. En cambio, en una sociedad puedes deducir casi todo lo que sea necesario para la actividad: reforma","Sirve para blindar ingresos, gastos y criterios si Hacienda revisa.",Documental,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar soporte probatorio ligado a este criterio.,¿Qué documentación adicional conviene guardar para defender este punto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
45,“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,2025-12-10T09:37:36.258Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre suministros, comunidad, IBI, seguros u otros gastos corrientes del inmueble.","uedes deducir casi todo lo que sea necesario para la actividad: reformas, asesoría, seguros, desplazamientos, suministros, amortización real de los activos, etc. Y, sobre todo, puedes reinvertir beneficios sin pagar el IRPF cada año . El dinero se queda dentro","Muy útil para alquiler por habitaciones, donde el reparto o repercusión suele generar dudas.",Fiscal,Medio,Media,Sí,Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Separar y archivar estos gastos con su criterio de imputación.,¿Qué criterio de imputación o prorrateo debo aplicar a estos gastos en mi caso?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
45,“¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?”,https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que,2025-12-10T09:37:36.258Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre estructura fiscal, persona física o sociedad, que requiere validación caso por caso.","n. Pero el error está en mirar solo el porcentaje de impuestos y no cómo se calculan esos impuestos . 2) Como persona física: pagas sobre lo que te queda. Como sociedad: eliges cuándo y cómo tributar. Cuando eres persona física (aunque no residente), Hacienda te d","Aunque tu caso sea persona física, ayuda a no tomar decisiones de estructura por titulares.",Fiscal,Alto,Media,Sí,Resumen ingresos/gastos | Escenario comparativo | Borrador renta,No cambiar estructura sin contraste numérico y asesoramiento.,¿Tiene sentido en mi caso seguir como persona física o valorar otra estructura sería innecesario?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
5,#Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable.,https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad,2026-05-04T06:10:29.531Z,B_BASE_FISCAL_UTIL,Fiscal,El post aporta criterio sobre gastos deducibles o su defensa documental.,"es en el impuesto sobre sociedades. Sin embargo, los intereses de los préstamos bancarios sí que me los puedo deducir en el impuesto sobre sociedades. Entonces, le he estado trabajando, le he presentado un informe, nos hemos reunido varias veces y le estoy",Te sirve para decidir qué gastos meter y cómo defenderlos.,Fiscal,Alto,Media,Sí,Facturas | Justificantes bancarios | Explicación de vinculación,Revisar este criterio antes de incluir gastos discutibles.,¿Este criterio me permite deducir este tipo de gasto en mi caso o aumenta riesgo?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
5,#Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable.,https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad,2026-05-04T06:10:29.531Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio útil sobre amortización de inmueble, mobiliario o accesorios.",as. Memoria. Libro diario. Libro mayor. Activo. Pasivo. Patrimonio neto. Existencias. Inmovilizado. Reservas. Amortización. Todo les suena. Pero no lo entienden. Y aquí empieza el problema. Porque si tienes una sociedad y no entiendes mínimamente su contabilidad,Puede ayudarte a no perder deducciones o a no aplicarlas mal.,Fiscal,Alto,Media,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar o revisar ficha de amortización si aplica.,¿Cómo debo aplicar esta amortización en mi caso concreto?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
5,#Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable.,https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad,2026-05-04T06:10:29.531Z,B_BASE_FISCAL_UTIL,Fiscal,"El post aporta criterio sobre reparación, conservación o mejora y su tratamiento fiscal.","scalidad y contabilidad volví a hacer un máster en fiscalidad internacional y luego durante el proceso de mi preparación en la oposición a la que aprobé Pues todo esto, eran materias de estudio, los aspectos contables. Y constantemente me estoy formando en con",Útil para clasificar facturas de obra y evitar errores ante Hacienda.,Fiscal,Alto,Media,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la actuación antes de meterla en renta.,¿Esta actuación concreta encaja aquí o debería tener otro tratamiento fiscal?,"Extracción hecha solo con el texto ya existente del post, sin rescrapeo. Se incluyen solo ideas con soporte literal localizado."
